Tipo/Tipo de transacción,Descripción del cargo,Número de referencia,Fecha de check-in,Fecha de check-out,Fecha de emisión,Estado de la reserva,Habitaciones,Noches,ID del alojamiento,Nombre del alojamiento,ID legal,Nombre legal,País,Tipo de pago,Importe bruto,Comisión,Comisión %,Cargo por servicio de los pagos,Porcentaje del cargo por servicio de los pagos,IVA,Impuestos,Importe de la transacción,Moneda de la transacción,Tipo de cambio,Importe a pagar,Importe del pago,Moneda del pago,Fecha del pago,Frecuencia del pago,Cuenta bancaria,Proveedor de servicios de pago
Reserva,JlA1RYJvk1l6EANf,6122084622,2026-05-29,2026-05-31,2026-05-31,OK,1,2,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,479.27,-81.48,17.00%,-6.23,1.30%,-18.42,0.00,373.14,EUR,1.00,373.14,-,EUR,2026-06-04,Semanal,*2632,Booking.com B.V.
(Payout),IkNFGMciUBKMKFJL,-,-,-,-,-,-,-,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,678.78,678.78,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
Reserva,IkNFGMciUBKMKFJL,5174418103,2026-06-06,2026-06-08,2026-06-08,OK,1,2,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,387.97,-65.95,17.00%,-5.04,1.30%,-14.91,0.00,302.07,EUR,1.00,302.07,-,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
Reserva,IkNFGMciUBKMKFJL,6759674674,2026-06-03,2026-06-06,2026-06-06,OK,1,3,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,483.84,-82.25,17.00%,-6.29,1.30%,-18.59,0.00,376.71,EUR,1.00,376.71,-,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
(Payout),BkViHn6xKOv9JB7n,-,-,-,-,-,-,-,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,730.68,730.68,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
Reserva,BkViHn6xKOv9JB7n,5752424758,2026-06-06,2026-06-07,2026-06-07,OK,1,1,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,255.60,-43.45,17.00%,-3.32,1.30%,-9.82,0.00,199.01,EUR,1.00,199.01,-,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
Reserva,BkViHn6xKOv9JB7n,5527772282,2026-06-03,2026-06-06,2026-06-06,OK,1,3,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,682.88,-116.09,17.00%,-8.88,1.30%,-26.24,0.00,531.67,EUR,1.00,531.67,-,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
(Payout),VTgdWLA0992SuQsd,-,-,-,-,-,-,-,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,581.65,581.65,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
Reserva,VTgdWLA0992SuQsd,6991253792,2026-06-04,2026-06-06,2026-06-06,OK,1,2,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,354.51,-60.27,17.00%,-4.61,1.30%,-13.63,0.00,276.00,EUR,1.00,276.00,-,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
Reserva,VTgdWLA0992SuQsd,6385328307,2026-06-06,2026-06-07,2026-06-07,OK,1,1,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,267.35,-45.45,17.00%,-3.48,1.30%,-10.27,0.00,208.15,EUR,1.00,208.15,-,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
Reserva,VTgdWLA0992SuQsd,5702835355,2026-06-03,2026-06-04,2026-06-04,OK,1,1,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,125.23,-21.29,17.00%,-1.63,1.30%,-4.81,0.00,97.50,EUR,1.00,97.50,-,EUR,2026-06-11,Semanal,*2632,Booking.com B.V.
(Payout),tVLqJUQIdWDvnkFL,-,-,-,-,-,-,-,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,844.98,844.98,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,tVLqJUQIdWDvnkFL,6548054365,2026-06-12,2026-06-15,2026-06-15,OK,1,3,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,663.84,-112.85,17.00%,-8.63,1.30%,-25.51,0.00,516.85,EUR,1.00,516.85,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,tVLqJUQIdWDvnkFL,6315955797,2026-06-11,2026-06-12,2026-06-12,OK,1,1,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,132.75,-22.57,17.00%,-1.73,1.30%,-5.10,0.00,103.35,EUR,1.00,103.35,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,tVLqJUQIdWDvnkFL,6390645121,2026-06-09,2026-06-11,2026-06-11,OK,1,2,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,288.71,-49.08,17.00%,-3.75,1.30%,-11.10,0.00,224.78,EUR,1.00,224.78,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
(Payout),Q7XrrPmI9pfKi0lt,-,-,-,-,-,-,-,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,595.63,595.63,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,Q7XrrPmI9pfKi0lt,5628775550,2026-06-13,2026-06-15,2026-06-15,OK,1,2,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,304.69,-51.80,17.00%,-3.96,1.30%,-11.71,0.00,237.22,EUR,1.00,237.22,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,Q7XrrPmI9pfKi0lt,6587900360,2026-06-08,2026-06-12,2026-06-12,OK,1,4,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,460.34,-78.26,17.00%,-5.98,1.30%,-17.69,0.00,358.41,EUR,1.00,358.41,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
(Payout),We67EEGLkwRaIrAx,-,-,-,-,-,-,-,13353057,"Acogedor estudio en Ponzano",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,252.89,252.89,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,We67EEGLkwRaIrAx,6727417197,2026-06-09,2026-06-11,2026-06-11,OK,1,2,13353057,"Acogedor estudio en Ponzano",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,324.82,-55.22,17.00%,-4.22,1.30%,-12.49,0.00,252.89,EUR,1.00,252.89,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
(Payout),PQKcIwcHMT05Vq5X,-,-,-,-,-,-,-,13355231,"Victoria Studio III",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,501.06,501.07,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,PQKcIwcHMT05Vq5X,5513004048,2026-06-13,2026-06-17,2026-06-17,OK,1,4,13355231,"Victoria Studio III",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,643.58,-109.41,17.00%,-8.37,1.30%,-24.74,0.00,501.06,EUR,1.00,501.06,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
(Payout),dYxx5Ew3knB9VC6Q,-,-,-,-,-,-,-,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,1153.01,1153.01,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,dYxx5Ew3knB9VC6Q,6382634005,2026-06-11,2026-06-14,2026-06-14,OK,1,3,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,742.06,-126.15,17.00%,-9.65,1.30%,-28.52,0.00,577.74,EUR,1.00,577.74,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,dYxx5Ew3knB9VC6Q,5127835496,2026-06-09,2026-06-11,2026-06-11,OK,1,2,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,348.88,-59.31,17.00%,-4.54,1.30%,-13.41,0.00,271.62,EUR,1.00,271.62,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
Reserva,dYxx5Ew3knB9VC6Q,6587174365,2026-06-14,2026-06-16,2026-06-16,OK,1,2,13776103,"Piso a pocos pasos del Retiro",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,390.00,-66.30,17.00%,-5.07,1.30%,-14.98,0.00,303.65,EUR,1.00,303.65,-,EUR,2026-06-18,Semanal,*2632,Booking.com B.V.
(Payout),NTMwf04eYo2KOI3u,-,-,-,-,-,-,-,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,569.06,569.06,EUR,2026-06-25,Semanal,*2632,Booking.com B.V.
Reserva,NTMwf04eYo2KOI3u,5238883663,2026-06-20,2026-06-24,2026-06-24,OK,1,4,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,487.80,-82.93,17.00%,-6.34,1.30%,-18.75,0.00,379.78,EUR,1.00,379.78,-,EUR,2026-06-25,Semanal,*2632,Booking.com B.V.
Reserva,NTMwf04eYo2KOI3u,5081552870,2026-06-15,2026-06-18,2026-06-18,OK,1,3,13353237,"Victoria Studio I",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,243.11,-41.33,17.00%,-3.16,1.30%,-9.34,0.00,189.28,EUR,1.00,189.28,-,EUR,2026-06-25,Semanal,*2632,Booking.com B.V.
(Payout),s3Od5DOZRWyDpT9P,-,-,-,-,-,-,-,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,-,-,-,-,-,-,-,-,-,-,739.18,739.18,EUR,2026-06-25,Semanal,*2632,Booking.com B.V.
Reserva,s3Od5DOZRWyDpT9P,5005342226,2026-06-23,2026-06-24,2026-06-24,OK,1,1,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,125.23,-21.29,17.00%,-1.63,1.30%,-4.81,0.00,97.50,EUR,1.00,97.50,-,EUR,2026-06-25,Semanal,*2632,Booking.com B.V.
Reserva,s3Od5DOZRWyDpT9P,6263120903,2026-06-15,2026-06-18,2026-06-18,OK,1,3,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,451.20,-76.70,17.00%,-5.87,1.30%,-17.34,0.00,351.29,EUR,1.00,351.29,-,EUR,2026-06-25,Semanal,*2632,Booking.com B.V.
Reserva,s3Od5DOZRWyDpT9P,5070525582,2026-06-19,2026-06-22,2026-06-22,OK,1,3,13355074,"Victoria Studio II",13274897,"TEPOZ INVESTMENT GROUP S.L.",Spain,Neto,372.97,-63.40,17.00%,-4.85,1.30%,-14.33,0.00,290.39,EUR,1.00,290.39,-,EUR,2026-06-25,Semanal,*2632,Booking.com B.V.
